Job_Name,Company,City,Job_type,Employees,Followers,Applicants,Industry,Level,Involvment,Job_Desception,skills
Process Associate - Banking and Capital Markets (BCM)-BFS026573,Genpact,Jaipur,On-site,10001,"1,30,023",51,Information Technology & Services ,Entry level,Full-time,,Adaptation Business Process Outsourcing (BPO) Chat Communication Critical Thinking 
"Sales Specialist, Amazon Shipping",Amazon,Delhi,On-site,10001,"8,21,695",200,Computer Software ,Entry level,Full-time,"Responsible for onboarding & account managing SMBs for shipping services business across India through a team of sales associates, owning revenue targets & ensuring best-in-class SMB experience', 'Scout and reach out to target customers by generating and qualifying leads', 'Engage with qualified leads with pitching for Amazon Shipping to get higher conversion.', 'Get on the ground to meet & convert potential big accounts/clients using sales and negotiation skills.', 'Regularly meet existing accounts validating our service levels, develop new revenue streams and target to increase business', 'Ensure timely billing and collection from the new & existing customers', 'Monitor sales revenue from new & existing accounts & take corrective steps to achieve goals', 'Ensure best-in-class client experience and ensuring service levels through the operations team.', 'More than 1 year of experience in sales from Logistics or shipping Industry.', 'Experience in an analytical, results-oriented environment with external customer interaction.', 'Proven ability to manage the business “by the numbers”. Must be metrics-driven.', 'Excellent written and oral communication and presentation skills and the ability to express thoughts logically and succinctly.', 'Entrepreneurial drive and demonstrated ability to achieve stretch goals in an innovative and fast-paced environment.'",Communication Customer Interaction Oral Communication Presentation Skills Presentations 
Process Associate - OTC-HEA007945,Genpact,Jaipur,On-site,10001,"1,30,023",45,Information Technology & Services ,Entry level,Full-time,,Business Process Outsourcing (BPO) Cash Application Communication Customer Service Daily Reports Dispute Resolution Interpersonal Skills Management Information Systems (MIS) Resolving Issues TeamMate 
MT Collections-HMS031434,Genpact,Jaipur,On-site,10001,"1,30,023",2,Information Technology & Services ,Associate,Full-time,,Interpersonal Skills Notification Problem Solving 
Reporting Analyst,NTT Ltd.,Bengaluru,Hybrid,10001,"17,651",200,Information Technology & Services ,Mid-Senior level,Full-time,,Communication Data Analytics Presentations 
"Sales Specialist, Amazon Shipping",Amazon,Bengaluru,On-site,10001,"8,21,695",200,Computer Software ,Entry level,Full-time,,Communication Customer Interaction Oral Communication Presentation Skills Presentations 
Process Developer - Invoice to Cash-HMS028743,Genpact,Noida,On-site,10001,"1,30,023",165,Information Technology & Services ,Entry level,Full-time,,Accounts Receivable (AR) Cash Application Commerce Dispute Resolution English Invoice Processing Order to Cash Process Improvement 
Process Associate-BFS025462,Genpact,Jaipur,On-site,10001,"1,30,023",137,Information Technology & Services ,Entry level,Full-time,"Premium application, reinstatement, renewal of payment received from policy holders', 'Backdate and cancellation of polices in case of payment made by policy holder get bounce', 'Respond to email /phone queries related to disputed cases', 'Research and analyze the disputes/deductions in ERP', 'Follow-up with various departments to get supporting documents/ info for dispute/deductions /resolution', 'See opportunities and recommend solutions for process and automation improvements', 'Daily reporting of individual portfolios to track and monitor the past dues and pending items', 'Implement strategy to reduce turnaround time on Research and resolving issues in a manner to expedite all cases in order to avoid any adverse customer impact', 'Work as a teammate to process any adhoc request in a timely manner.', 'Deliver quality customer service by researching and responding to all internal & external partners inquiries quickly, effectively and professionally.', 'Call out problems to senior staff members and or management as appropriate.', 'B.Com', 'Freshers are eligible', 'Excellent English interpersonal skills', 'Prior cash application experience!', 'MS Excel knowledge'",Business Process Outsourcing (BPO) Cash Application Communication Customer Service Daily Reports Dispute Resolution Interpersonal Skills Process Excellence Resolving Issues TeamMate 
Manager- HR,IndiGo (InterGlobe Aviation Ltd),Delhi,On-site,10001,"18,874",200,Airlines/Aviation ,Mid-Senior level,Full-time,,Human Resources (HR)Coaching Employee Engagement Employee Relations HR Policies Onboarding Personnel Management Talent Management 
Assistant Manager- OTC Collections FLM role-HMS030295,Genpact,Pune,On-site,10001,"1,30,023",137,Information Technology & Services ,Associate,Full-time,"Managing the team of 15-20 employees, manging team staffing, Partner management', 'Drive performance for all team members', 'Identify training gaps, mentor your team', 'Making sure the team meets all SLAs for the process', 'Manage critical accounts for the team This includes the collection of invoices and the management of all related processes dispute identification and resolution, account reconciliation, credit balance disposition, and unclaimed property administration.', 'Ability to handle, trouble shoot, and resolve recurring or occasional bottlenecks', 'Effectively communicate and support the collection goals, while providing quality customer service as well as actively pursue knowledge of skills and tools to be used in all collection efforts.', 'Receive notification for reimbursement and perform acceptability analysis within threshold', 'Take Supervisory & make customer concern calls', 'Attend cash calls with clients, discuss accounts where help is needed', 'Any Graduation', 'Team leading experience', 'Builds and maintain effective customer / client relationships.', 'Advance Excel skills and analytical thinking skills.', 'Problem-solving skills.', 'Continuous improvement background a plus.', 'Well organized and attention to details.', 'Cultural awareness and interpersonal skills', 'Ability to work under pressure with solution focus approach', 'Ability to learn ERP systems', 'Good analytical and problem-solving skills', 'Excellent MS Office skills including MS Excel', 'Good conceptual knowledge and experience in tax activities preferred'",Analytical Skills Cash Collection Communication Cultural Awareness Dispute Resolution Management Information Systems (MIS) Order to Cash Problem Solving Service-Level Agreements (SLA) Thinking Skills 
